TIMESTAMP,COMMENTS,TOPIC,CLIENT,CLINIC,LABEL
Mar-22, Everything Nothing comes to mind,Good doctor,Titus Will - Tacoma,Tacoma Health Center,Positive
Mar-22, Very caring staff Everything went well,Services,California's Valued Trust (CVT),Altais Salinas North Main Street,Positive
Mar-22, Melissa was great! ,Concerns addressed,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22," clean and comfortable office, personable staff ",Services,Buckeye Advantage - Archbold,Wauseon Clinic,Positive
Mar-22, Clear and thorough information. ,Concerns addressed,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Union Hall Site,Positive
Mar-22,Very friendly and very helpful on the problem solving. Took care of a cist on my shoulder Nothing,Services,nan,SSM Health DirectCare Florissant Clinic,Positive
Mar-22,"I adore the system and love my physician. It is easy for me to schedule and get help quickly Layne, even though she was running behind, she treated me with respect and listened to my issues, discussing several different options and backups plans. It was an hour later than the time scheduled, but the Physician's assistant had called ahead of time to let me know they were running behind and I know Layne had been out sick herself the day before so probably had a lot of appts to make up.",Blood work and vaccine,State of Colorado,DTC Centrum Healthcare Center Clinic,Negative
Mar-22, everything ,Professionalism,Buckeye Advantage - Archbold,Defiance Clinic,Positive
Mar-22, everything from greeting to doctor time spent with me ,Engagement with Patient's,State of Colorado,Aurora Cornerstar Plaza Clinic,Positive
Mar-22, Everything.  Best doctors office I have had ,Engagement with Patient's,Cleveland Bakers & Teamsters (CBT),North Canton Lauby Rd,Positive
Mar-22, Made the overall visit feel comfortable and felt as though my treatment was important to them as well. ,Services,Cooper Farms,Defiance Clinic,Positive
Mar-22, Everything!  Getting better care than I ever received with Southwest Medical Dr Tan and anyone else I ever saw. ,Good doctor,nan,Teamsters Local 14 Family Wellness Center - Northwest,Positive
Mar-22, Beverly is always so welcoming. Greets you I would say with a smile but hard to tell with mask but you can see it in her eyes she is always very friendly. Dr Made sure I was not feeling any pain or discomfort while removing skin lesions. ,Blood work and vaccine,nan,Local 166 Clinic,Negative
Mar-22, prescribe a different antibiotic that seems to have worked overnight on my sinuses. ,Doctor listen the concerns,Central Supply Company,MacAllister Clinic,Neutral
Mar-22, Melissa was so calming and comfortable. It was my first visit with her and I was extremely impressed. ,Good doctor,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Mar-22, Everyone was friendly and helpful. ,Services,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Mar-22,"free, convenient, PA is very friendly and understanding. courtesy, friendliness, welcoming demeanor. ",Concerns addressed,Weld County Colorado,Weld County Employee Medical Center,Positive
Mar-22," Very thorough.  I appreciated the time Robin took to discuss, ask questions, and answer questions.  I also appreciated the print out of what what discussed during my appointment ",Good doctor,Northeast Indiana School Insurance Trust,LaGrange Clinic,Positive
Mar-22, Thank you for giving me this opportunity to talk about my doctor Dr. Black Sonia block she’s not only my doctor she’s my supporter she wipe my tears she makes me feel good every time I see her I feel supported I feel everything will be OK she’s such an amazing doctor she connect with me not only as a patient she look at me as human being who need help and  support. She answered every question I have simply I don’t have a word to describe her I always tell my coworker about her she’s   an amazing doctor.  The entire stuff at Everside health They are  Very friendly and I like to thank them for their excellent service. ,Services,State of Colorado,Denver Lowry Medical Plaza Clinic,Positive
Mar-22, Not much waiting. App. started on time and moved along rapidly Nothing,Unskilled,Keller Logistics,Defiance Clinic,Negative
Mar-22, You showed genuine concern for my health Don’t have any comments,Doctor is hospitable,Michelin - South Carolina,Michelin Family Health Center - HNA,Neutral
Mar-22,All my questions were answered Came to a conclusion on my health and asked if I agreed No problemd,Engagement with Patient's,IBEW Local 145,Davenport Clinic,Positive
Mar-22, Everything ,Professionalism,Union County,Monroe Campus Park Clinic,Positive
Mar-22, Answered all my questions. ,Doctor listen the concerns,Seymour Community Schools,Nippon Steel/Seymour Schools Clinic,Neutral
Mar-22," The staff was friendly, efficient, and accommodating. Explained things clearly. Nothing.",Concerns addressed,Aisin - Indiana,Aisin Seymour Tipton Health and Wellness Center,Positive
Mar-22, Very personable ,Services,"Gibson Insurance Agency, Inc",City Of Mishawaka Clinic,Positive
Mar-22, Made me feel welcome and answered my questions. ,Services,Plumbers & Pipefitters Union Local 525,Collective Union Health - Windmill Lane,Positive
Mar-22, vary friendly ,Professionalism,Utz Quality Foods,Utz Clinic,Positive
Mar-22," Chris was amazing.  She spent more time we me than she needed, but I was in a low place and lifted me from the dregs. ",Engagement with Patient's,IBEW Local 212,Local 212 Clinic,Positive
Mar-22, Provide prompt care and always show concern for my best interest ,Concerns addressed,North Lawrence School District,Bedford Clinic,Positive
Mar-22, Treated me with kindness and respect ,Concerns addressed,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Mar-22,"NO Donna Copper & Miss Carle (not sure if that is her correct name) the are so supportive during this personal medical issues that I'm continuing to have. 
Yet, they are very professional in their mannerisms The doctor had questions ready to ask me concerning my current medical progress. She also had my record and review in case you forgot anything along with notes of suggestions and the next steps. I felt like I was more than an appointment and that was really important that she's attentive or someone's attentive to my medical need it this time I've never been in this state but it's very difficult and I need to be able to trust somebody. Everything was fine",Good doctor,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Mar-22, Everyone was very friendly. Dr. Shannon was very positive and she gave me her full attention. She made me feel like she did not want to rush me with my appointment.  :) ,Concerns addressed,Spangler Candy Company,Defiance Clinic,Positive
Mar-22,Very good patient care Communicated very well ,Concerns addressed,Cleveland Bakers & Teamsters (CBT),Seven Hills Lombardo Center Clinic,Positive
Mar-22,"Fast , friendly, organized  ",Engagement with Patient's,Midwest Operating Engineers Local 150,Activate by Everside Rockford Family Medical Center,Positive
Mar-22, Everyone there are very professional!!! Nothing!!!,Professionalism,Cleveland Bakers & Teamsters (CBT),Seven Hills Lombardo Center Clinic,Positive
Mar-22, Layne is always wonderful. Thorough and patient ,Services,State of Colorado,DTC Centrum Healthcare Center Clinic,Positive
Mar-22,Sometimes the office is difficult to reach by phone. The doctor was very thorough and explained everything well. My appointment was scheduled for a different time than originally scheduled.,Blood work and vaccine,Elkhart County Government,Elkhart County Clinic,Negative
Mar-22, Always loving and caring ,Services,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Mar-22,It can only be accessed by coworkers that are on the county health insurance. Very courteous and no wait time ,Engagement with Patient's,Washington County,Salem Clinic,Positive
Mar-22, Felt heard and that I was getting expert and experienced advice. Left with a good plan moving forward. ,Good doctor,Nexus Growth Solutions,Local 166 Clinic,Positive
Mar-22, cheerful environment and polite staff. ,Engagement with Patient's,Elkhart County Government,Elkhart County Clinic,Positive
Mar-22," Staff is always helping and kind. The NP Sarah I saw at my appointment was thorough, attentive, listened and was very kind. ",Services,City Of Mishawaka,City Of Mishawaka Clinic,Positive
Mar-22,It is fine  ,Good doctor,State of Colorado,Arvada City of Arvada Clinic,Positive
Mar-22, Dr. Cooper is so patient and really takes time to listen to my concerns and inform me of risks and benefits of any treatment or change that she recommends.  After years of feeling ignored I am so grateful to have her as my care provider. All is well in my recent experiences.,Testing and Treatment,South Bend Community Schools,South Bend Community Schools Clinic,Negative
Mar-22,More convenient and great staff Was very concerned about my health ,Good doctor,Michelin - South Carolina,Michelin Family Health Center - Anderson,Positive
Mar-22, I like that they listen to what you’re saying. My previous doctor seemed like he was on his computer more than he was talking to me. I strongly feel that they listen to what you’re saying. That’s what I like ,Engagement with Patient's,"Plumbers, Pipefitters And MES Local 392",Erlanger Clinic,Positive
Mar-22," Taking the time to listen, showing concern, and answering my questions. ",Doctor listen the concerns,Buckeye Advantage - Bryan,Defiance Clinic,Neutral
Mar-22, Provide antibiotics Nothing,Doctor is hospitable,Akron Public Schools,North Canton Lauby Rd,Neutral
Mar-22, Took the time to listen and respond to any questions I had.  Very professional. None to report,Good doctor,GECOM,GECOM Clinic,Positive
Mar-22, Establish care and bloodwork ,Services,Midwest Operating Engineers Local 150,Activate by Everside Rockford Family Medical Center,Positive
Mar-22, very kid and compassion ,Professionalism,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Mar-22, Very personal and professional Everything went well,Services,Everside Health - Indiana,Major Tool Clinic,Positive
Mar-22, They worked me in in a timely manner. ,Doctor is hospitable,South Madison Community Schools,Anderson Clinic,Neutral
Mar-22,Only used it once He was attentive & professional Everything went well,Professionalism,Indiana Teamsters Health Benefits Fund,Teamsters 135 Clinic,Positive
Mar-22, time to share concerns ,Engagement with Patient's,MCSIG,Altais Monterey Ryan Ranch,Positive
Mar-22, LISTENED !!! ,Doctor listen the concerns,Buckeye Advantage - Napoleon,Defiance Clinic,Neutral
Mar-22, Professional treatment from start to finish ,Doctor is hospitable,Peoria Public Schools,Peoria Clinic (PPS),Neutral
Mar-22, Everything. Wait was minimal and service was excellent. Nothing.,Engagement with Patient's,"Seven Counties Services, Inc.",Louisville Seven Counties Broadway Clinic,Positive
Mar-22,"Courteous, attentive and helpful. All of the above! ",Good doctor,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22, Great care ,Engagement with Patient's,Herzog Contracting Corporation,Herzog Health and Wellness Center,Positive
Mar-22, Explained everything very thoroughly!   Made me feel at ease. ,Professionalism,City of Akron,Akron S. Main Health Center,Positive
Mar-22," Dr. McBrearty was tentative to my concerns regarding pain in my left shoulder.  He took the time to show me pictures on the computer of why he diagnosed me with Cervical Radiculopathy.  He also gave me copies of exercises to perform at home while taking prescribed meds to treat. The whole interaction was proper, as usual.  No comments necessary for improvement.",Good doctor,State of Colorado,Littleton Highline Professional Center Clinic,Positive
Mar-22,Convenient and very friendly The physician listened to me very well I felt like I was waiting quite a while to see the doctor,Unskilled,City Of Kalamazoo,City of Kalamazoo Clinic,Negative
Mar-22,"My appointment was scheduled for 9:15, the first appointment of the day. I arrived at 8:55 and I beat the medical assistant there to unlock the door. I was put in an exam room and saw no one until 9:20 when the MA returned to take my vitals. The dr didn’t see me until 9:50. 35 mins after my scheduled appointment. I don’t understand how the first appointment of the day can already be 35 mins late. My time is just as valuable as theirs. I’m missing work to be there. I try to make my appointments first thing so less time can be missed. Dr Agee was great! She is the only reason I return. She spends time with me and explains everything. The Medical assistants are disorganized, cannot fill a prescription in a timely manner, and don’t schedule appointments correctly. They rarely call as a reminder of an appointment either.",Testing and Treatment,Central Supply Company,Local 166 Clinic,Negative
Mar-22," My feet and legs were checked for more than just what I was there for; my blood pressure was checked twice, once for each arm, for it was elevated. I was required to wear a stupid mask.  I think it interesting that the man (Mr. Fauchi) who published a research paper in 2008 in which he concluded that the wearing of masks was responsible for more deaths than the Spanish flu in the 1918 outbreak, recommended in 2020 that we wear masks, which were just a effective against this virus as a chain link fence is at protecting us from mosquitoes.",Services,DRG,Red Gold Berne Clinic,Positive
Mar-22," Thorough, plenty of time, straightforward, clear and concise explanations, good probing questions.  Professional. ",Concerns addressed,State of Colorado,Sterling Inspire Health,Positive
Mar-22, Listened ,Doctor listen the concerns,OEM Fabricators,BeWell Clinic,Neutral
Mar-22,having to relogin & resignup 2x within 6 days - and while sick the 2nd time was awful. trevor?  was great - got me diagnosed & treated w/RX's to take home - i got pretty bad w a 103 fever when i got home - but major improvements the next day and back to work the next day after that. having to relogin & resignup 2nd time win 6days was awful - couldn't read anything on tiny ipads,Blood work and vaccine,Defiance County,Defiance Clinic,Negative
Mar-22, Dr. Kevin is amazing! I wish you were able to keep him in Decatur. He will be missed! Everything was great,Concerns addressed,"City of Decatur, IL",Activate by Everside Decatur IL Wellness Center,Positive
Mar-22,"The transaction to this new site is lacking, doctors still can not access information from the previous site and there are no notes from my visit listed. Seeing the PA for the first time was comfortable and she was very professional Nothing",Blood work and vaccine,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Negative
Mar-22, Very polite and friendly ,Professionalism,City of Elkhart,Waste Away Group Clinic,Positive
Mar-22, The MA and provider were very thorough and caring.  They listened.  Madeline is wonderful. ,Services,Weld County Colorado,Weld County Employee Medical Center,Positive
Mar-22," Nurses and nurse practitioners were friendly, caring, concerned, and helpful ",Professionalism,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22," Full check up  
Blood work ",Doctor listen the concerns,International Union of Operating Engineers Local Union 542,IUOE Local 542 Health Center,Neutral
Mar-22, Explained things in a nice manner ,Services,Major Tool And Machine,Major Tool Clinic,Positive
Mar-22, Helped me with the information I needed to take care of my situation ,Good doctor,Lock Joint Tube,City Of South Bend Clinic,Positive
Mar-22, The doctor spent a good deal of time with me. ,Engagement with Patient's,Union County,Monroe Campus Park Clinic,Positive
Mar-22,Convenient n kind Saw the dr n got labs and meds all in the same day ,Good doctor,nan,Defiance Clinic,Positive
Mar-22,Very kind staff  ,Professionalism,IBEW Local 357,Union Family Health Center - Downtown,Positive
Mar-22," follow up on blood work Would like to NP to be more caring and compassionate. 
Heather, Michelle and Jenie are very very caring and compassionate and always go above and beyond!!",Good doctor,nan,LCSC Health & Wellness Center,Positive
Mar-22, It was a wellness check. I complained about aches and pains. All good,Good doctor,Cooper Farms,Cooper Farms St. Henry Clinic,Positive
Mar-22, Overall care was great! Very thorough! ,Services,Buckeye Advantage - Archbold,Archbold Clinic,Positive
Mar-22, Everything was very professionally handled. ,Good doctor,IBEW Local 212,Local 212 Clinic,Positive
Mar-22," staff always seems caring , concerned and engaged with me.   I typically do not see this with my other providers. nothing comes to mind",Good doctor,City Of Mishawaka,City Of Mishawaka Clinic,Positive
Mar-22, It was easy to schedule an appointment. There was no waiting time in the lobby and I was referred that same day. Dr. Followed up that same day. The hardest part was finding the building in Monterey.,Appointment,MCSIG,Altais Salinas North Main Street,Negative
Mar-22, I made a last minute appointment and was seen first thing the next day. The doctor was informative and friendly and certainly helped me with my concerns. The staff (Brianna) is more than just staff - she is a definite part of the team. I am so glad I found Dr. Poptic as now I no longer dislike going to the doctor. The clock didn't work. We laughed about it.,Good doctor,Anthem ERC Health,Avon Sheffield Detroit Ave Clinic,Positive
Mar-22," Questions about my health issues in detail with many follow up questions, getting to the root of my health ",Doctor is hospitable,Plumbers & Pipefitters Union Local 525,Collective Union Health - Buffalo Drive,Neutral
Mar-22, I really apprecitate how everything was explained to me.  There were no surprises and I felt cared for.  There was no judgement at all and I felt like my questions were answered with care and consideration. No complaints.  Everything went well.,Engagement with Patient's,Colorado Higher Education Insurance Benefits Alliance Trust - CHEIBA,Colorado Springs Wall Street Clinic,Positive
Mar-22, APRN Lascoe was amazing while putting in my Nexplanon. She made me very comfortable. Everything was amazing. I did not have a bad experience  at all.,Services,"Seven Counties Services, Inc.",Louisville Seven Counties Broadway Clinic,Positive
Mar-22," The appointment started on time and the nurse I met with was very attentive and interested in my situation. Everything went very well, no complaints at all.",Concerns addressed,Michelin - South Carolina,Unknown,Positive
Mar-22, I felt extremely well cared for. ,Concerns addressed,Akron Public Schools,Akron S. Main Health Center,Positive
Mar-22," Courteous. Friendly, helpful! All was great.",Professionalism,nan,Defiance Clinic,Positive
Mar-22, Everything well great nurse ,Concerns addressed,Cleveland Bakers & Teamsters (CBT),Beachwood Science Park Drive,Positive
Mar-22, Timely and listened ,Doctor is hospitable,Mid Central Operating Engineers - MCOE,Mid Central Operating Engineers Clinic,Neutral
Mar-22," Staff is VERY kind!
NP was VERY helpful!! ",Engagement with Patient's,nan,LCSC Health & Wellness Center,Positive
Mar-22,Great Doctor and caring staff at our location the doctor knows me well and took the time to analyze my situation well. It was clear he was more concerned with my problem than time constraints. nothing,Good doctor,Steel Warehouse,City Of South Bend Clinic,Positive
Mar-22, Took the time to explain my illness and asked if I had any questions.He did not rush the appointment. I have no complaints,Good doctor,State of Colorado,Denver Lowry Clinic,Positive
Mar-22, All of my questions were answered. ,Doctor listen the concerns,nan,Defiance Clinic,Neutral
Mar-22, love that you talk to me and that you know me nothing you all are great,Good doctor,Monroe County Government,Monroe County Clinic,Positive
Mar-22, She explained the back ache may be from the infection that I have she was right because two days now of take n antibiotics my back feels a lil better but still hurts so continue take meds and see what happens only been taking for two days now I can let know after done fully taking antibiotics ,Good doctor,Nippon Steel Pipe America,Nippon Steel/Seymour Schools Clinic,Positive
Mar-22, The doctor showed complete interest in the reasons why I was there. I honestly feel like I was being cared for In my best interest. Amazing hands down! Nothing,Engagement with Patient's,IBEW Local 357,Union Family Health Center - Henderson,Positive
Mar-22, I did not feel rushed. Was very thorough. ,Professionalism,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Mar-22," Dr Cavins-Stewart was very patient with me, she listened to all of my concerns and addressed every one of them. ",Doctor is hospitable,Everside Health - Indiana,Anderson Clinic,Neutral
Mar-22, Everything Nothing,Engagement with Patient's,City Of Mishawaka,City Of Mishawaka Clinic,Positive
Mar-22, Sarah and Delaney took the time to Listen and Care Nothing,Good doctor,Herzog Contracting Corporation,Herzog Health and Wellness Center,Positive
Mar-22, see the items above nothing,Doctor is hospitable,State of Colorado,Denver State Capitol Clinic,Neutral
Mar-22, It was very welcoming. The staff are friendly and I did not feel rushed to get to the next patient. I think everything went very well.,Professionalism,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22,Welcomed. Ladies at the reception area were pleasant and friendly. Saw James in  timely fashion. Kept informed as the examination progressed. Something that is important for me are that my medical files are centralized and available.  Your current system does not meet that provide that service.,Services,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22, Love the staff at the office I go to. Nothing they are amazing.,Engagement with Patient's,State of Colorado,Sterling Inspire Health,Positive
Mar-22," Friendly, made me feel comfortable. ",Professionalism,UCAR,Broomfield Buffalo Ridge Clinic,Positive
Mar-22," I was the only patient, hard to mess this up. ",Services,IBEW Local 357,Union Family Health Center - Downtown,Positive
Mar-22, Listened and gave great guidence Nothing,Concerns addressed,State of Colorado,Denver Lowry Clinic,Positive
Mar-22," Dr Lane asked a lot of pertinent questions related to my issue, and offered suggestions that may affect the issue.  A follow up has been scheduled to gauge success. The switch from the previous IT system to the updated IT system that Everside uses did not transfer all of my record history.  
The paperwork I had to fill out required some info that I did not have with me.",Good doctor,nan,MacAllister Clinic,Positive
Mar-22, Taking the time to explain. ,Doctor listen the concerns,Madison County Government,Bronnenberg Health Center,Neutral
Mar-22," The entire appointment from start to finish was completed in a professional and timely manner. All of my questions and concerns were not only addressed, but answered before I ever left the office. I left feeling that the care I received during my visit, could not have been better. I can't think of a single thing.",Blood work and vaccine,City Of Kalamazoo,City of Kalamazoo Clinic,Negative
Mar-22, The staff is always courteous and Dr Kline is the best. ,Engagement with Patient's,IBEW Local 357,Union Family Health Center - Downtown,Positive
Mar-22," Dr. McBrearty and the staff at the Littleton Clinic are simply ""good people"". They are an example of what you get when you put the right people in a situation where they truly belong and can thrive. ",Good doctor,State of Colorado,Littleton Highline Professional Center Clinic,Positive
Mar-22," tHE NURSE TOOK HER TIME WITH ME, THE DOCTOR AS WELL TOOK HIS TIME AND ASKED A BUNCH OF QUESTIONS THAT I HAD TO ANSWER ",Good doctor,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Glendale,Positive
Mar-22,"I can't recommend them to anyone who isn't employed by Elkhart County. The new NP Heather was wonderful! She took plenty of time with me, went over my bloodwork and answered all my questions. ",Services,Elkhart County Government,Elkhart County Clinic,Positive
Mar-22," Everything was on time,  and everyone was courteous.   Madeline Johnson was wonderful,  listening and asking all the right questions. Nothing!",Good doctor,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Mar-22, Explain things well ,Concerns addressed,Spangler Candy Company,Bryan Clinic,Positive
Mar-22," Staff is friendly, which means more to patients than you might think. Dr. Smith listens to me and doesn't act rushed. He is kind and seems genuinely caring. ",Services,Union County,Monroe Campus Park Clinic,Positive
Mar-22, Leslie and Jennifer were very courteous and professional. ,Professionalism,Michelin - South Carolina,Michelin Family Health Center - Lexington,Positive
Mar-22,very convenient and high quality.  ,Engagement with Patient's,Steel Warehouse,City Of South Bend Clinic,Positive
Mar-22, Dr Ritter and Laura are personable and easy to talk to. I felt that Dr Ritter was very thorough in her questions for an annual physical. ,Good doctor,Sentry Equipment,Oconomowoc Sentry Equipment Clinic,Positive
Mar-22, Giv me medicine ,Doctor is hospitable,Indiana Teamsters Health Benefits Fund,Teamsters 135 Clinic,Neutral
Mar-22," You always care about our health, spend maximum time to give us a good care. You are very professional. Nothing wrong",Services,UA Plumbers Local 5,UA Plumbers Local 5 Health & Wellness Center,Positive
Mar-22,"Fast and Friendly service.  I like how they get you in and out so you are not waiting while someone is covering your classes. In and out service, taking care of what ailed me. Nothing",Testing and Treatment,Northeast Indiana School Insurance Trust,LaGrange Clinic,Negative
Mar-22,"Would have been higher if you had maintained access to the previous medical records instead of having to start all over with new contact, etc.. Covered the correct areas with appropriate questions. Didn't have access to the notes (assumed) from all of my previous discussions with Condition Management",Doctor listen the concerns,Michelin - South Carolina,Unknown,Neutral
Mar-22," The entire staff is kind and courteous, making me feel important. ",Engagement with Patient's,City of Elkhart,Waste Away Group Clinic,Positive
Mar-22, very good interaction with Dr. and staff. ,Good doctor,State of Colorado,Pueblo West Generations Primary Care,Positive
Mar-22, The entire staff is and have always been most helpful and patient. ,Engagement with Patient's,Elkhart County Government,Elkhart County Clinic,Positive
Mar-22," Personable, kind, friendly, and informative. Nothing",Services,State of Colorado,Denver State Capitol Clinic,Positive
Mar-22," Staff was welcoming and even if they were behind, they kept me informed. Never ignored and kindly answered all of my questions. Dr. Eisa takes time and listens. First doctor to take the time to go over issues and really cares. Very fortunate to be able to visit this location with great staff and exceptional doctor! None",Testing and Treatment,nan,Teamsters Local 14 Family Wellness Center - Henderson,Negative
Mar-22, I got right in to the room and didn't wait but a few minutes.  Dr. spent a lot of time with me addressing ever concern I had with my medical issues. ,Doctor listen the concerns,City of Akron,Akron S. Main Health Center,Neutral
Mar-22, Answered all my questions and concerns. ,Doctor listen the concerns,Akron Public Schools,Akron-White Pond Drive Clinic,Neutral
Mar-22,VERY NICE FAST SERVICE  ,Professionalism,Michelin - South Carolina,Unknown,Positive
Mar-22, Took care of what I needed on a very last minute basis! ,Engagement with Patient's,City of Puyallup,Puyallup Meeker's Landing Clinic,Positive
Mar-22," With being onsite, it is convenient.  The staff is great, I enjoy walking in and feeling comfortable. ",Engagement with Patient's,nan,MacAllister Clinic,Positive
Mar-22, Seen right away. Able to schedule an appointment the same day too. ,Doctor is hospitable,City of Arvada,Arvada City of Arvada Clinic,Neutral
Mar-22, They were able to draw blood quickly. ,Doctor listen the concerns,Akron Public Schools,Seven Hills Lombardo Center Clinic,Neutral
Mar-22, Friendly and very informative. ,Professionalism,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22, Erin took the time beforehand to read my medical record. ,Doctor listen the concerns,Red Gold - Elwood,Red Gold Elwood Clinic,Neutral
Mar-22," Listen to my concerns, ordered test to find out what is wrong, and on time ",Engagement with Patient's,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Mar-22, Doctor was very attentive. ,Doctor is hospitable,Premier Financial Corporation,Defiance Clinic,Neutral
Mar-22," Everyone was great. The front office, the medical assistant and doctor ",Services,nan,Teamsters Local 14 Family Wellness Center - Northwest,Positive
Mar-22, Everything was great. nothing,Concerns addressed,Elkhart County Government,Elkhart County Clinic,Positive
Mar-22, The staff were genuinely concerned about my well-being. ,Good doctor,State of Colorado,Sterling Inspire Health,Positive
Mar-22, Communicated very well. Physician spent time with me and didn't feel like she rushed through my appointment. I felt valued as a patient. ,Engagement with Patient's,Michelin - South Carolina,Michelin Family Health Center - Lexington,Positive
Mar-22, Thoroughly listened to me and examined my finger. Everything was wonderful!,Concerns addressed,IUOE Local 513,SSM Health DirectCare Florissant Clinic,Positive
Mar-22, Staff was very easy to talk to. NOthing,Good doctor,Herzog Contracting Corporation,Herzog Health and Wellness Center,Positive
Mar-22, Everything so satisfied with the service thank you ,Good doctor,DaVita - Colorado,Denver 15th Street Clinic,Positive
Mar-22, Dr. Was thorough explaining my medical problem and treatment options. He was gentle during the exam. Micah was gentle during the blood draw. ,Services,State of Colorado,Denver State Capitol Clinic,Positive
Mar-22, Great Doctor all was well,Concerns addressed,Schomp Automotive Group,Littleton Highline Professional Center Clinic,Positive
Mar-22, I love dr Jiwani she’s fantastic. And her assistant Jessica I just met but she was equally wonderful. Everything was great,Concerns addressed,State of New Jersey - (Horizon BCBS),Jersey City Grand St,Positive
Mar-22,Appointment was rushed and lack of sentivity toward parients needs.  ,Appointment,MCSIG,Altais Salinas North Main Street,Negative
Mar-22, 6 months check up nlood work Nothing,Doctor listen the concerns,State of New Jersey - (Horizon BCBS),Jersey City Grand St,Neutral
Mar-22,"Good clinic, but it seems they need more help. Quality care, they need more staff. Quality care at exam. It was a previous appointment that had impact on this appointment. Poor follow up of a referral that never would have happened.",Lab result and services,"B&B Molders, LLC",City Of Mishawaka Clinic,Negative
Mar-22," Rachel and Jody, you are the bestest! There are literally no words I can put in here because bestest sums it up.",Professionalism,"Plumbers, Pipefitters And MES Local 392",Local 212 Clinic,Positive
Mar-22, Dr Donnelly is very caring and passionate ,Services,nan,Station Casinos Medical Center - Sunset,Positive
Mar-22, The were thorough and nice and compassionate toward me being sick. Nothing that I can think of.,Good doctor,Northeast Indiana School Insurance Trust,LaGrange Clinic,Positive
Mar-22, Full physical Nothing,Doctor listen the concerns,Plumbers & Steamfitters Local 440,Local 440 Clinic,Neutral
Mar-22,nice staff and good doctors Annual Physical - Doctor spend time to talk to me about my concerns. None of my previous records were available since the switch to Everside Health.,Good doctor,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Mar-22," Everything , fast , ! ",Services,Buckeye Advantage - Napoleon,Napoleon Clinic,Positive
Mar-22," Everyone was friendly, and got me in as soon as they could.  My concerns were heard and are being followed up on. ",Services,Cooper Farms,Defiance Clinic,Positive
Mar-22, Answered all of my questions ,Doctor listen the concerns,Central Supply Company,MacAllister Clinic,Neutral
Mar-22," Very personable, did not make me feel rushed in any way ",Good doctor,Sentry Equipment,Oconomowoc Sentry Equipment Clinic,Positive
Mar-22, I felt like both the gentlemen working with me cared about what was going on. I didn’t feel rushed. Best doctors experience I’ve ever had. Nothing.,Good doctor,State of Colorado,Denver State Capitol Clinic,Positive
Mar-22, People are nice and professional ,Professionalism,nan,Teamsters Local 14 Family Wellness Center - Henderson,Positive
Mar-22, You make us feel important ,Professionalism,IBEW Local 357,Union Family Health Center - Downtown,Positive
Mar-22, Dr. Everett is always amazing!!  She addressed all of my concerns and even went above and beyond with follow up care. ,Services,State of Colorado,Aurora Cornerstar Plaza Clinic,Positive
Mar-22, The nurse as well as the doctor are super helpful in providing support and assistance for me and my family. I feel like I’m in very good hands. ,Professionalism,State of New Jersey - (Horizon BCBS),Hamilton Quakerbridge Road Office,Positive
Mar-22,"Availability to see me. Very nice nurse practitioner. Felt cared about. Excellent procedures. Nice staff and nurse. After a negative covid test, I still have a sinus/bronchitis condition and wasn’t given that treatment, I was given medication but need an antibiotic so I am calling back and anticipate I will get it today.",Good doctor,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Mar-22," Mindful, efficient, patient ",Concerns addressed,State of Colorado,Colorado Springs Wall Street Clinic,Positive
Mar-22, I very much appreciate Dr. Malfese's attention and advice. And the nursing staff are great too. ,Concerns addressed,UCAR,Boulder Goose Creek Clinic,Positive
Mar-22," Everything, from the time I arrived to the time I checked out the staff was very attentive. I I truly felt special. Practitioner Kim is the best, she really cares, and listens to me. She answers my question and always responds to phone calls. I could go on and about how great she is. The entire office is Great. ",Engagement with Patient's,"Seven Counties Services, Inc.",Louisville Park Plaza Clinic,Positive
Mar-22, They were very courteous and listened to me and answered all my questions plus they were very patience with me Everything was very good,Services,Aisin - Indiana,Aisin Seymour Tipton Health and Wellness Center,Positive
Mar-22, Dr. took a long time getting to know me and listened to me attentively. ,Doctor listen the concerns,State of Colorado,Littleton Highline Professional Center Clinic,Neutral
